Campaign,Ad Group,Keyword,Match Type
Sales-Search-ci beginners,Ad group 1,"contact improvisation online",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation class",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation course",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation beginner",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation beginners",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation for beginners",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation lesson",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation lessons",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation workshop",Phrase
Sales-Search-ci beginners,Ad group 1,"learn contact improvisation",Phrase
Sales-Search-ci beginners,Ad group 1,"learn contact improvisation online",Phrase
Sales-Search-ci beginners,Ad group 1,"online contact improvisation",Phrase
Sales-Search-ci beginners,Ad group 1,"online contact improvisation course",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation practice",Phrase
Sales-Search-ci beginners,Ad group 1,"floorwork online class",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation online class",Phrase
Sales-Search-ci beginners,Ad group 1,"contact improvisation online course",Phrase
Sales-Search-ci beginners,Ad group 1,"what is contact improvisation",Phrase
Sales-Search-ci beginners,Ad group 1,[contact improvisation class],Exact
Sales-Search-ci beginners,Ad group 1,[contact improvisation course],Exact
Sales-Search-ci beginners,Ad group 1,[contact improvisation online],Exact
Sales-Search-ci beginners,Ad group 1,[contact improvisation for beginners],Exact
